building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
322 West 11 Street A,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,1100,0,0,Step down,1,10,1100,110,Standard,Yes,West Village,2,1100,10014,982238,207242,Existing,1,Manhattan,1-633-15,633,15,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-633-15-1,,,,,,
129 Perry Street,Alteration Concept ,Occupied,Unavailable,"Laundry, Dry Cleaning",Blank,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,1000,0,0,Step down,1,,1000,,Standard,Yes,West Village,1,1000,10014,982175,207106,Existing,1,Manhattan,1-633-27,633,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-633-27-1,,,,,,
304 West 11 Street A,J&V Chinese Laundry,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,Asian,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,350,0,0,,1,10,350,35,Standard,Yes,West Village,2,350,10014,982515,207273,Existing,1,Manhattan,1-633-51,633,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-633-51-1,,,,,,
304 West 11 Street B,Swank,Occupied,Unavailable,Personal Services,,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,350,0,0,,1,10,350,35,Standard,Yes,West Village,2,350,10014,982515,207273,Existing,1,Manhattan,1-633-51,633,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,2,1-633-51-2,,,,,,
173 Christopher Street,Vacant ,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,612.5,0,0,Step up,1,15,612.5,40.8333333333333,Standard,Yes,West Village,2,612.5,10014,981672,206259,Existing,1,Manhattan,1-636-34,636,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-636-34-1,,,,,,
396 West Street,Vacant,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,Yes,100 ,Street Frontage,0,3961,0,0,,1,60,3961,66.0166666666667,Standard,Yes,West Village,1,3961,10014,981524,206446,Existing,1,Manhattan,1-636-41,636,41,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-636-41-1,,,,,,
393 West Street,Vacant,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,700,0,0,,1,24,700,29.1666666666667,Standard,Yes,West Village,1,700,10014,981486,206297,Existing,1,Manhattan,1-636-5,636,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-636-5-1,,,,,,
156 Perry Street,Action Carting Environmental Services ,Occupied,Unavailable,Other Services,,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,1200,0,0,Step up,1,2,1200,600,Standard,Yes,West Village,1,1200,10014,981782,206892,Existing,1,Manhattan,1-637-21,637,21,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-637-21-1,,,,,,
154 Perry Street,Crystal Design & Interior,Occupied,Unavailable,Other Services,,,,,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,2710,0,0,,1,15,2710,180.666666666667,Standard,Yes,West Village,1,2710,10014,981834,206902,Existing,1,Manhattan,1-637-25,637,25,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-637-25-1,,,,,,
690 Washington Street,West Village Choice Deli,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,South American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,300,0,0,,1,15,300,20,Standard,Yes,West Village,2,300,10014,981820,206790,Existing,1,Manhattan,1-637-30,637,30,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-637-30-1,,,,,,
440 West 14 Street,Highline Stages,Occupied,Unavailable,Other Services,Blank,Local Chain / Independant,$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,15445,0,0,,1,150,15445,102.966666666667,Standard,Yes,Chelsea,1,15445,10014,982345,209628,Existing,1,Manhattan,1-712-11,712,11,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-712-11-1,,,,,,
190 Bleecker Street B ,Percy's Pizza,Occupied,Unavailable,Restaurant & Bar,Fast Food,"Independent local, Local Chain",$,North American,,,2 - Average ,1- Low End,3,Average,No,50 ,Street Frontage,,450,,,None,1,10,450,45,Standard,Yes,NoHo,2,,10012,983826,204902,Existing,1,Manhattan,1-526-24,526,24,,,,,6500,,,,,,,,,,,,,,TRUE,190,Bleecker Street B ,,New York,New York,10012,2,1,,,,,,(212) 388-1355,,,,,,,3,1-526-24-3,Bleecker Street,40.729186,-74.001446,Yes,,
163 Bleecker Street B ,Sacred Sounds Yoga,Occupied,Unavailable,"Toys, Hobbies",Hobbies,"Independent local, Local Chain",$$,Asian,,,2 - Average ,1- Low End,3,Average,No,50 ,Street Frontage,,,,2500,None,1,16,2500,NA,Standard,Yes,NoHo,2,,10012,984267,204801,Existing,1,Manhattan,1-539-39,539,39,,,,,6500,,,,,,,,,,,,,,TRUE,163,Bleecker Street B ,,New York,New York,10012,2,1,,,,,,,,,,,,,3,1-539-39-3,Bleecker Street,40.728709,-74.000024,,,
4 Bleecker Street  ,Madam Geneva,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average ,1- Low End,3,Average,No,100 ,Street Frontage,,1080,,,None,1,18,1080,60,Standard,Yes,East Village,1,,10012,986272,203498,Existing,1,Manhattan,1-521-73,521,73,,,,,5502,,,,,,,,,,,,,,TRUE,4,Bleecker Street  ,,New York,New York,10012,2,1,,,,,,,,,,,,,2,1-521-73-2,Bleecker Street,40.72528,-73.992733,Yes,,
165 Bleecker Street  ,Fiore's Pizza,Occupied,Unavailable,Restaurant & Bar,Take-out,"Independent local, Local Chain",$,North American,,,2 - Average ,1- Low End,3,Average,No,100 ,Street Frontage,,1200,,,None,1,15,1200,80,Standard,Yes,NoHo,1,,10012,984245,204814,Existing,1,Manhattan,1-539-40,539,40,,,,,6500,,,,,,,,,,,,,,TRUE,165,Bleecker Street  ,,New York,New York,10012,2,1,,,,,,,,,,,,,2,1-539-40-2,Bleecker Street,40.728746,-74.000101,Yes,,
4 Morton Street,Cleaners,Occupied,Unavailable,"Laundry, Dry Cleaning",,Local Chain / Independant,$$,North American,,,3 - High Quality,1- Low End,4,Average,No,30 ,Street Frontage,0,270,0,0,,1,10,270,27,Standard,Yes,West Village,2,270,10014,983344,205725,Existing,1,Manhattan,1-586-61,586,61,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,3,1,,,,,,,,,,,,,1,1-586-61-1,,,,,,
320 Bleecker Street,Andrade Shoe Repair,Occupied,Unavailable,Apparel,Shoes,Local Chain / Independant,$$,North American,,,3 - High Quality,1- Low End,4,Average,No,33 ,Street Frontage,0,493.02,0,0,,1,15,493.02,32.868,Standard,Yes,West Village,3,493.02,10014,983081,206354,Existing,1,Manhattan,1-588-63,588,63,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,3,1,,,,,,,,,,,,,1,1-588-63-1,,,,,,
405 West 13 Street,Hogs & Heifers,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club",Local Chain / Independant,$,North American,,,3 - High Quality,1- Low End,4,Average,Yes,30 ,Street Frontage,0,2838,0,0,,1,60,2838,47.3,Standard,Yes,West Village,5,2838,10014,982294,209309,Existing,1,Manhattan,1-646-27,646,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,3,1,,,,,,,,,,,,,1,1-646-27-1,,,,,,
4 Morton Street  ,Cleaners,Occupied,Unavailable,"Laundry, Dry Cleaning",,"Independent local, Local Chain",$$,North American,,,3 - High Quality,1- Low End,4,Average,No,30 ,Street Frontage,,270,,,,1,10,586,62,Standard,Yes,West Village,2,,10014,983344,205725,Existing,1,Manhattan,1-586-61,586,61,,,,,6700,,,,,,,,,,,,,,TRUE,4,Morton Street  ,,New York,New York,10014,3,1,,,,,,,,,,,,,3,1-586-61-3,Bleecker Street,40.731357,-74.003272,,,
194 Bleecker Street A ,Artful Posters,Occupied,Unavailable,Gifts and Memorabilia,"Gift Shop, Memorabilia and Souvenirs","Independent local, Local Chain",$$,North American,,,3 - High Quality,1- Low End,4,Average,No,50 ,Street Frontage,,375,,,None,1,10,375,37,Standard,Yes,NoHo,2,,10012,983784,204930,Existing,1,Manhattan,1-526-22,526,22,,,,,6500,,,,,,,,,,,,,,TRUE,194,Bleecker Street A ,,New York,New York,10012,3,1,,,,,,,,,,,,,3,1-526-22-3,Bleecker Street,40.72926,-74.001598,,,
194 Bleecker Street B ,Masala Times,Occupied,Unavailable,Restaurant & Bar,Take-out,"Independent local, Local Chain",$$,Asian,,,3 - High Quality,1- Low End,4,Average,No,50 ,Street Frontage,,375,,,None,1,10,375,37,Standard,Yes,NoHo,2,,10012,983784,204930,Existing,1,Manhattan,1-526-22,526,22,,,,,6500,,,,,,,,,,,,,,TRUE,194,Bleecker Street B ,,New York,New York,10012,3,1,,,,,,,,,,,,,4,1-526-22-4,Bleecker Street,40.72926,-74.001598,Yes,,
190 Bleecker Street A ,Bombay Duck,Occupied,Unavailable,Restaurant & Bar,Take-out,"Independent local, Local Chain",$$,Asian,,,3 - High Quality,1- Low End,4,Average,No,50 ,Street Frontage,,450,,,None,1,10,450,45,Standard,Yes,NoHo,2,,10012,983826,204902,Existing,1,Manhattan,1-526-24,526,24,,,,,6500,,,,,,,,,,,,,,TRUE,190,Bleecker Street A ,,New York,New York,10012,3,1,,,,,,,,,,,,,4,1-526-24-4,Bleecker Street,40.729186,-74.001446,Yes,,
180 Bleecker Street  ,Vacant ,Vacant,Available,,,,,,,,3 - High Quality,1- Low End,4,Average,No,100 ,Street Frontage,1650,1650,,,None,1,15,3300,220,Standard,Yes,NoHo,1,,10012,983969,204822,Existing,1,Manhattan,1-526-59,526,59,,,,,6500,,,,,,,,,,,,,,TRUE,180,Bleecker Street  ,,New York,New York,10012,3,1,,,,,,,,,,,,,2,1-526-59-2,Bleecker Street,40.728939,-74.000952,,,
77 Clarkson Street,Vacant,Vacant,Unavailable,,,,,,,,1 - Low End,2 - Average,3,Average,No,33 ,Street Frontage,0,2742.3,0,0,,1,30,2742.3,91.41,Standard,Yes,West Village,3,2742.3,10014,981449,205229,Existing,1,Manhattan,1-601-1,601,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,1,2,,,,,,,,,,,,,3,1-601-1-3,,,,,,
358 West Street ,Vacant,Vacant,Unavailable,,,,,,,,1 - Low End,2 - Average,3,Average,No,100 ,Street Frontage,0,2300,0,0,,1,20,2300,115,Standard,Yes,West Village,1,2300,10014,981448,205307,Existing,1,Manhattan,1-601-5,601,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,1,2,,,,,,,,,,,,,1,1-601-5-1,,,,,,
10 Downing Street,Alex Anthony Salon,Occupied,Unavailable,Personal Services,,Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,10,Street Frontage,0,1180,0,0,,1,25,1180,47,Standard,Yes,West Village,6,11806,10014,983463,204953,Existing,1,Manhattan,1-527-27,527,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-27-1,,,,,,
10 Downing Street B,Apple Bank,Occupied,Unavailable,Bank,Bank,National Presence,0,North American,,,2 - Average,2 - Average,4,Average,No,20,Street Frontage,0,2361,0,0,,1,45,2361,52,Standard,Yes,West Village,6,11806,10014,983463,204953,Existing,1,Manhattan,1-527-27,527,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,2,1-527-27-2,,,,,,
10 Downing Street A,Cafe Clover,Occupied,Unavailable,Grocery,"Butcher, Bakery, Seafood, Cheese, Chocolate, Tea & Coffee, Other Specialized Food",Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,25,Street Frontage,0,2951,0,0,,1,100,2951,29,Standard,Yes,West Village,6,11806,10014,983463,204953,Existing,1,Manhattan,1-527-27,527,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,3,1-527-27-3,,,,,,
10 Downing Street,Jack's Stir Brew Coffee,Occupied,Unavailable,Restaurant & Bar,Cafe,Regional Presence,0,North American,,,2 - Average,2 - Average,4,Average,No,15,Street Frontage,0,1770,0,0,,1,15,1770,118,Standard,Yes,West Village,6,11806,10014,983463,204953,Existing,1,Manhattan,1-527-27,527,27,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,5,1-527-27-5,,,,,,
172 West Houston ,Quick Stop Deli,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,Yes,60,Street Frontage,0,1080,0,0,,1,50,1080,21,Standard,Yes,West Village,2,1800,10014,983446,204748,Existing,1,Manhattan,1-527-48,527,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-48-1,,,,,,
176 West Houston A,JR Properties ,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,405,0,0,,15,,405,0,Standard,Yes,West Village,2,810,10014,983420,204801,Existing,1,Manhattan,1-527-50,527,50,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-50-1,,,,,,
176 West Houston Street B,MBJ Dry Cleaners ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,405,0,0,,1,15,405,27,Standard,Yes,West Village,2,810,10014,983420,204801,Existing,1,Manhattan,1-527-50,527,50,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,2,1-527-50-2,,,,,,
178 West Houston B,Shair,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,412,0,0,,1,10,412,41,Standard,Yes,West Village,2,825,10014,983397,204815,Existing,1,Manhattan,1-527-51,527,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-51-1,,,,,,
54 Carmine Street,Market Table,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1200,0,0,,1,60,1200,20,Standard,Yes,West Village,1,1200,10014,983220,205132,Existing,1,Manhattan,1-527-53,527,53,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-53-1,,,,,,
52 Carmine Street A,Carmine Street Beers,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,400,0,0,,1,15,400,26,Standard,Yes,West Village,2,800,10014,983255,205147,Existing,1,Manhattan,1-527-56,527,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-56-1,,,,,,
52 Carmine Street B,Spirits of Carmine,Occupied,Unavailable,Liquor Store,Liquor Store,Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,50,Street Frontage,0,400,0,0,,1,15,400,26,Standard,Yes,West Village,2,800,10014,983255,205147,Existing,1,Manhattan,1-527-56,527,56,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,2,1-527-56-2,,,,,,
50 Carmine Street,Jacks Wife Freda,Occupied,Unavailable,Restaurant & Bar,Cafe,Local Chain / Independant,0,North American,,,2 - Average,2 - Average,4,Average,No,100,Street Frontage,0,1500,0,0,,1,20,1500,75,Standard,Yes,West Village,1,1500,10014,983280,205157,Existing,1,Manhattan,1-527-57,527,57,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,,,,,,,,2,2,,,,,,,,,,,,,1,1-527-57-1,,,,,,
